epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,822.245,1.72761,2.18707,1.53787,0.41727,0.45476,0.39206,0.19403,1.66261,2.17032,1.4641,0.000658333,0.000658333,0.000658333
2,1671.52,1.55529,1.7307,1.39188,0.57989,0.47398,0.4931,0.25937,1.66464,1.89362,1.50363,0.00106265,0.00106265,0.00106265
3,2421.32,1.53404,1.58792,1.35685,0.57224,0.46277,0.50108,0.26131,1.71301,1.97979,1.5842,0.00120297,0.00120297,0.00120297
4,3606.98,1.49228,1.45004,1.33362,0.64071,0.54844,0.59531,0.32077,1.55379,1.52932,1.39221,0.000812,0.000812,0.000812
5,5073.57,1.39958,1.32687,1.26786,0.69846,0.62869,0.69443,0.39073,1.44252,1.36598,1.29407,0.000416,0.000416,0.000416
