epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,820.752,1.76234,2.23236,1.56727,0.53481,0.43683,0.43503,0.20932,1.72619,2.01097,1.53474,0.000658228,0.000658228,0.000658228
2,1641.88,1.55928,1.68472,1.38226,0.52742,0.45917,0.46221,0.23518,1.71303,1.92152,1.55228,0.00106257,0.00106257,0.00106257
3,2938.78,1.54624,1.57967,1.37904,0.53982,0.52327,0.52172,0.27595,1.58262,1.67289,1.3863,0.0012029,0.0012029,0.0012029
4,4169.75,1.48034,1.43745,1.33325,0.64504,0.57781,0.62082,0.33916,1.5078,1.43768,1.35238,0.000812,0.000812,0.000812
5,5486.96,1.40772,1.35109,1.29005,0.71881,0.62789,0.68191,0.39488,1.40594,1.27553,1.2617,0.000416,0.000416,0.000416
