epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1294.58,1.76318,2.16664,1.54404,0.52346,0.49339,0.47936,0.2447,1.6378,1.9139,1.45618,0.000658228,0.000658228,0.000658228
2,3036.18,1.55608,1.69573,1.38039,0.54509,0.41488,0.44674,0.23076,1.73042,2.07813,1.50428,0.00106257,0.00106257,0.00106257
3,4266.63,1.53029,1.59991,1.3558,0.5715,0.52231,0.5225,0.27712,1.56684,1.69477,1.40037,0.0012029,0.0012029,0.0012029
4,5449.23,1.46837,1.4466,1.32256,0.6856,0.55868,0.6231,0.35403,1.48198,1.46276,1.33035,0.000812,0.000812,0.000812
5,6967.82,1.4102,1.321,1.29749,0.71399,0.58179,0.65868,0.38041,1.40731,1.38171,1.29146,0.000416,0.000416,0.000416
