epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1053.02,1.76936,2.13857,1.51402,0.38503,0.41561,0.32331,0.15334,1.73851,2.29483,1.61125,0.000658228,0.000658228,0.000658228
2,2193.5,1.57073,1.68788,1.37502,0.52568,0.46537,0.4793,0.23288,1.77094,1.98658,1.62382,0.00106257,0.00106257,0.00106257
3,3178.42,1.5368,1.5511,1.34077,0.55479,0.49463,0.50377,0.26982,1.58315,1.7808,1.44879,0.0012029,0.0012029,0.0012029
4,3910.37,1.47461,1.42867,1.31776,0.73252,0.57659,0.65091,0.36466,1.48475,1.47916,1.36231,0.000812,0.000812,0.000812
5,4662.61,1.39765,1.34205,1.27483,0.73686,0.64201,0.7042,0.39347,1.40474,1.43487,1.33748,0.000416,0.000416,0.000416
